Archetype,Aluren,Black/White Control,Blue/Black Psychatog,Contamination,Destructive Flow,Elves,Enchantress,Goblins,Green/White Madness,Gro-a-tog,Landstill,Machine Head,Moneyball Black,Mono Blue Dreadnought,Mono Blue Tide Control,Ponza,Red/Green Oath Ponza,Sligh,Stasis,Survival Madness,Terrageddon,The Rock,The Solution,Unknown,White Weenie
Aluren,0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),50.0% (1W-1L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (2W-0L),0.0% (0W-0L)
Black/White Control,0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-2L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),50.0% (1W-1L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L)
Blue/Black Psychatog,0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),50.0% (2W-2L),0.0% (0W-2L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),50.0% (1W-1L),0.0% (0W-2L),0.0% (0W-1L),75.0% (3W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-3L),0.0% (0W-0L),50.0% (1W-1L),100.0% (1W-0L)
Contamination,0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (2W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),100.0% (1W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L)
Destructive Flow,0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),66.7% (2W-1L),0.0% (0W-1L),0.0% (0W-0L),50.0% (1W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (2W-0L),0.0% (0W-0L)
Elves,0.0% (0W-1L),0.0% (0W-0L),50.0% (2W-2L),0.0% (0W-2L),100.0% (1W-0L),0.0% (0W-0L),66.7% (2W-1L),75.0% (3W-1L),0.0% (0W-0L),100.0% (2W-0L),66.7% (2W-1L),0.0% (0W-2L),100.0% (2W-0L),75.0% (3W-1L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (2W-0L),0.0% (0W-0L),66.7% (2W-1L),75.0% (3W-1L),0.0% (0W-0L),61.5% (8W-5L),100.0% (1W-0L)
Enchantress,0.0% (0W-0L),0.0% (0W-0L),100.0% (2W-0L),0.0% (0W-1L),0.0% (0W-0L),33.3% (1W-2L),0.0% (0W-0L),0.0% (0W-0L),50.0% (1W-1L),0.0% (0W-0L),0.0% (0W-3L),0.0% (0W-2L),0.0% (0W-1L),0.0% (0W-2L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (3W-0L),100.0% (1W-0L),100.0% (1W-0L),50.0% (1W-1L),50.0% (1W-1L),100.0% (1W-0L),83.3% (5W-1L),0.0% (0W-0L)
Goblins,100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),100.0% (1W-0L),25.0% (1W-3L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),66.7% (2W-1L),100.0% (2W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L)
Green/White Madness,0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),50.0% (1W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),100.0% (3W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-2L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),100.0% (2W-0L),0.0% (0W-0L)
Gro-a-tog,0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-2L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L)
