Archetype,Aluren,Angry Hermit,Black/White Control,Blue/Black Psychatog,Blue/White Tide Control,Contamination,Devourer Combo,Elves,Enchantress,Goblins,Landstill,Machine Head,Moneyball Black,Mono Blue Dreadnought,Mono Blue Tide Control,Replenish,Sligh,Stasis,Survival Madness,Survival Rock,Terrageddon,The Rock,Unknown
Aluren,0.0% (0W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),0.0% (0W-4L),100.0% (14W-0L),0.0% (0W-3L),25.0% (1W-3L),75.0% (3W-1L),16.7% (1W-5L),40.0% (2W-3L),75.0% (3W-1L),91.7% (11W-1L),58.3% (7W-5L),0.0% (0W-3L),0.0% (0W-9L),50.0% (2W-2L),100.0% (1W-0L),0.0% (0W-1L),0.0% (0W-0L),100.0% (1W-0L),100.0% (4W-0L),53.1% (17W-15L)
Angry Hermit,0.0% (0W-0L),0.0% (0W-0L),50.0% (3W-3L),42.9% (3W-4L),0.0% (0W-0L),0.0% (0W-0L),60.0% (3W-2L),100.0% (6W-0L),100.0% (6W-0L),100.0% (5W-0L),100.0% (3W-0L),100.0% (2W-0L),0.0% (0W-4L),66.7% (6W-3L),0.0% (0W-4L),0.0% (0W-0L),0.0% (0W-2L),50.0% (3W-3L),100.0% (3W-0L),100.0% (3W-0L),0.0% (0W-3L),0.0% (0W-4L),72.0% (18W-7L)
Black/White Control,0.0% (0W-1L),50.0% (3W-3L),0.0% (0W-0L),60.0% (6W-4L),0.0% (0W-0L),50.0% (3W-3L),0.0% (0W-0L),100.0% (2W-0L),0.0% (0W-7L),25.0% (1W-3L),88.9% (8W-1L),0.0% (0W-0L),0.0% (0W-4L),25.0% (2W-6L),100.0% (2W-0L),0.0% (0W-2L),44.4% (4W-5L),0.0% (0W-0L),0.0% (0W-3L),57.1% (4W-3L),0.0% (0W-0L),75.0% (3W-1L),78.6% (11W-3L)
Blue/Black Psychatog,0.0% (0W-0L),57.1% (4W-3L),40.0% (4W-6L),0.0% (0W-0L),0.0% (0W-0L),44.4% (4W-5L),0.0% (0W-3L),36.7% (11W-19L),60.0% (6W-4L),66.7% (2W-1L),50.0% (7W-7L),58.3% (7W-5L),0.0% (0W-10L),68.0% (17W-8L),0.0% (0W-1L),11.1% (1W-8L),46.7% (7W-8L),0.0% (0W-3L),100.0% (2W-0L),0.0% (0W-0L),62.5% (5W-3L),44.4% (4W-5L),81.0% (34W-8L)
Blue/White Tide Control,100.0% (4W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-0L),28.6% (4W-10L),70.0% (7W-3L),100.0% (3W-0L),100.0% (3W-0L),0.0% (0W-0L),100.0% (4W-0L),42.9% (3W-4L),0.0% (0W-3L),76.9% (10W-3L),0.0% (0W-0L),0.0% (0W-1L),100.0% (3W-0L),100.0% (3W-0L),0.0% (0W-0L),0.0% (0W-0L),47.6% (10W-11L)
Contamination,0.0% (0W-14L),0.0% (0W-0L),50.0% (3W-3L),55.6% (5W-4L),0.0% (0W-0L),0.0% (0W-0L),0.0% (0W-1L),88.9% (8W-1L),18.8% (3W-13L),100.0% (3W-0L),59.3% (16W-11L),40.0% (4W-6L),50.0% (1W-1L),61.5% (8W-5L),0.0% (0W-6L),0.0% (0W-6L),61.9% (13W-8L),0.0% (0W-0L),100.0% (4W-0L),50.0% (3W-3L),10.0% (1W-9L),0.0% (0W-1L),58.2% (32W-23L)
Devourer Combo,100.0% (3W-0L),40.0% (2W-3L),0.0% (0W-0L),100.0% (3W-0L),0.0% (0W-0L),100.0% (1W-0L),0.0% (0W-0L),100.0% (24W-0L),80.0% (8W-2L),100.0% (4W-0L),55.0% (11W-9L),57.9% (11W-8L),100.0% (8W-0L),0.0% (0W-6L),66.7% (2W-1L),55.6% (5W-4L),56.2% (9W-7L),25.0% (2W-6L),0.0% (0W-7L),0.0% (0W-0L),28.6% (2W-5L),100.0% (2W-0L),70.4% (19W-8L)
Elves,75.0% (3W-1L),0.0% (0W-6L),0.0% (0W-2L),63.3% (19W-11L),71.4% (10W-4L),11.1% (1W-8L),0.0% (0W-24L),0.0% (0W-0L),29.6% (8W-19L),26.3% (5W-14L),77.8% (14W-4L),80.0% (16W-4L),75.0% (15W-5L),51.4% (18W-17L),62.5% (10W-6L),41.7% (5W-7L),28.6% (10W-25L),83.3% (5W-1L),63.0% (17W-10L),100.0% (5W-0L),55.6% (5W-4L),84.6% (11W-2L),62.5% (65W-39L)
Enchantress,25.0% (1W-3L),0.0% (0W-6L),100.0% (7W-0L),40.0% (4W-6L),30.0% (3W-7L),81.2% (13W-3L),20.0% (2W-8L),70.4% (19W-8L),0.0% (0W-0L),46.2% (12W-14L),50.0% (11W-11L),56.2% (9W-7L),33.3% (8W-16L),55.3% (21W-17L),44.4% (8W-10L),25.0% (5W-15L),71.4% (20W-8L),100.0% (4W-0L),50.0% (10W-10L),78.6% (11W-3L),50.0% (9W-9L),71.4% (5W-2L),59.2% (42W-29L)
Goblins,83.3% (5W-1L),0.0% (0W-5L),75.0% (3W-1L),33.3% (1W-2L),0.0% (0W-3L),0.0% (0W-3L),0.0% (0W-4L),73.7% (14W-5L),53.8% (14W-12L),0.0% (0W-0L),38.1% (8W-13L),33.3% (2W-4L),50.0% (7W-7L),46.2% (18W-21L),66.7% (6W-3L),4.8% (1W-20L),52.0% (13W-12L),43.8% (7W-9L),84.2% (16W-3L),100.0% (4W-0L),44.4% (4W-5L),33.3% (1W-2L),58.7% (44W-31L)
Landstill,60.0% (3W-2L),0.0% (0W-3L),11.1% (1W-8L),50.0% (7W-7L),0.0% (0W-3L),40.7% (11W-16L),45.0% (9W-11L),22.2% (4W-14L),50.0% (11W-11L),61.9% (13W-8L),0.0% (0W-0L),75.0% (9W-3L),35.7% (5W-9L),60.0% (21W-14L),52.4% (11W-10L),46.7% (7W-8L),10.0% (1W-9L),25.0% (4W-12L),55.6% (10W-8L),100.0% (10W-0L),23.1% (3W-10L),40.0% (2W-3L),54.8% (57W-47L)
Machine Head,25.0% (1W-3L),0.0% (0W-2L),0.0% (0W-0L),41.7% (5W-7L),0.0% (0W-0L),60.0% (6W-4L),42.1% (8W-11L),20.0% (4W-16L),43.8% (7W-9L),66.7% (4W-2L),25.0% (3W-9L),0.0% (0W-0L),68.8% (11W-5L),56.2% (18W-14L),52.2% (12W-11L),46.7% (7W-8L),60.0% (12W-8L),0.0% (0W-0L),0.0% (0W-8L),0.0% (0W-0L),61.5% (8W-5L),0.0% (0W-1L),38.8% (31W-49L)
Moneyball Black,8.3% (1W-11L),100.0% (4W-0L),100.0% (4W-0L),100.0% (10W-0L),0.0% (0W-4L),50.0% (1W-1L),0.0% (0W-8L),25.0% (5W-15L),66.7% (16W-8L),50.0% (7W-7L),64.3% (9W-5L),31.2% (5W-11L),0.0% (0W-0L),58.1% (18W-13L),55.6% (5W-4L),27.3% (3W-8L),28.6% (4W-10L),0.0% (0W-1L),45.5% (5W-6L),55.6% (5W-4L),33.3% (1W-2L),50.0% (1W-1L),55.3% (26W-21L)
Mono Blue Dreadnought,41.7% (5W-7L),33.3% (3W-6L),75.0% (6W-2L),32.0% (8W-17L),57.1% (4W-3L),38.5% (5W-8L),100.0% (6W-0L),48.6% (17W-18L),44.7% (17W-21L),53.8% (21W-18L),40.0% (14W-21L),43.8% (14W-18L),41.9% (13W-18L),0.0% (0W-0L),38.5% (5W-8L),72.7% (16W-6L),90.9% (40W-4L),46.7% (7W-8L),30.8% (8W-18L),0.0% (0W-4L),33.3% (4W-8L),61.1% (11W-7L),62.8% (86W-51L)
Mono Blue Tide Control,100.0% (3W-0L),100.0% (4W-0L),0.0% (0W-2L),100.0% (1W-0L),100.0% (3W-0L),100.0% (6W-0L),33.3% (1W-2L),37.5% (6W-10L),55.6% (10W-8L),33.3% (3W-6L),47.6% (10W-11L),47.8% (11W-12L),44.4% (4W-5L),61.5% (8W-5L),0.0% (0W-0L),100.0% (3W-0L),77.8% (14W-4L),0.0% (0W-7L),23.1% (6W-20L),0.0% (0W-1L),40.0% (2W-3L),100.0% (6W-0L),66.0% (35W-18L)
Replenish,100.0% (9W-0L),0.0% (0W-0L),100.0% (2W-0L),88.9% (8W-1L),23.1% (3W-10L),100.0% (6W-0L),44.4% (4W-5L),58.3% (7W-5L),75.0% (15W-5L),95.2% (20W-1L),53.3% (8W-7L),53.3% (8W-7L),72.7% (8W-3L),27.3% (6W-16L),0.0% (0W-3L),0.0% (0W-0L),69.2% (9W-4L),11.1% (1W-8L),100.0% (7W-0L),0.0% (0W-0L),0.0% (0W-1L),100.0% (4W-0L),60.9% (39W-25L)
Sligh,50.0% (2W-2L),100.0% (2W-0L),55.6% (5W-4L),53.3% (8W-7L),0.0% (0W-0L),38.1% (8W-13L),43.8% (7W-9L),71.4% (25W-10L),28.6% (8W-20L),48.0% (12W-13L),90.0% (9W-1L),40.0% (8W-12L),71.4% (10W-4L),9.1% (4W-40L),22.2% (4W-14L),30.8% (4W-9L),0.0% (0W-0L),28.6% (8W-20L),95.7% (22W-1L),25.0% (1W-3L),100.0% (3W-0L),100.0% (7W-0L),68.2% (60W-28L)
